form_1	freq_1	stem	xpostag	variation	lemma_freq_corrected	corpus_size	form_2	freq_2	odds	log_odds	base	derivational	nsyl	base_tr	lemma	p
ábrándozok	284	ábrándozo	[/V][Prs.NDef.1Sg]	lakom/lakok	18385	8570080167	ábrándozom	610	0.4664484451718494	-0.7626077789029448	ábrándozik	zik	3	ábrándozik	ábrándozik	0.31808035714285715
adakozok	180	adakozo	[/V][Prs.NDef.1Sg]	lakom/lakok	17936	8570080167	adakozom	168	1.0710059171597632	0.0685983163427522	adakozik	zik	3	adakozik	adakozik	0.5171428571428571
adaptálódok	10	adaptálódo	[/V][Prs.NDef.1Sg]	lakom/lakok	4014	8570080167	adaptálódom	7	1.375	0.3184537311185346	adaptálódik	NA	4	adaptálódik	adaptálódik	0.5789473684210527
adódok	24	adódo	[/V][Prs.NDef.1Sg]	lakom/lakok	313753	8570080167	adódom	5	4.166666666666667	1.4271163556401458	adódik	NA	2	adódik	adódik	0.8064516129032259
adósodok	2	adósodo	[/V][Prs.NDef.1Sg]	lakom/lakok	5682	8570080167	adósodom	2	1	0	adósodik	NA	3	adósodik	adóšodik	0.5
ágaskodok	8	ágaskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	5740	8570080167	ágaskodom	26	0.3333333333333333	-1.0986122886681098	ágaskodik	NA	3	ágaskodik	ágaškodik	0.25
aggályoskodok	4	aggályoskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	683	8570080167	aggályoskodom	18	0.2631578947368421	-1.3350010667323402	aggályoskodik	NA	4	aggá¬oskodik	aggájoškodik	0.20833333333333331
aggodalmaskodok	60	aggodalmaskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	9029	8570080167	aggodalmaskodom	185	0.3279569892473118	-1.11487280953989	aggodalmaskodik	NA	5	aggodalmaskodik	aggodalmaškodik	0.2469635627530364
aggódok	4074	aggódo	[/V][Prs.NDef.1Sg]	lakom/lakok	341034	8570080167	aggódom	20869	0.19525634882606613	-1.6334419743962834	aggódik	NA	2	aggódik	aggódik	0.1633593906594508
áhítozok	74	áhítozo	[/V][Prs.NDef.1Sg]	lakom/lakok	9214	8570080167	áhítozom	551	0.1358695652173913	-1.9960599327407849	áhítozik	zik	3	áhítozik	áhítozik	0.11961722488038279
ajánlkozok	7	ajánlkozo	[/V][Prs.NDef.1Sg]	lakom/lakok	4605	8570080167	ajánlkozom	71	0.1111111111111111	-2.1972245773362196	ajánlkozik	zik	3	ajánlkozik	ajánlkozik	0.09999999999999998
ájtatoskodok	2	ájtatoskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	525	8570080167	ájtatoskodom	1	1.5	0.4054651081081644	ájtatoskodik	NA	4	ájtatoskodik	ájtatoškodik	0.6000000000000001
akadékoskodok	102	akadékoskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	3726	8570080167	akadékoskodom	88	1.1573033707865168	0.14609261849749589	akadékoskodik	NA	5	akadékoskodik	akadékoškodik	0.5364583333333334
akaratoskodok	1	akaratoskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	199	8570080167	akaratoskodom	4	0.4	-0.916290731874155	akaratoskodik	NA	5	akaratoskodik	akaratoškodik	0.2857142857142857
akaszkodok	11	akaszkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	2721	8570080167	akaszkodom	29	0.4	-0.916290731874155	akaszkodik	NA	3	akaßkodik	akaskodik	0.2857142857142857
akklimatizálódok	6	akklimatizálódo	[/V][Prs.NDef.1Sg]	lakom/lakok	2558	8570080167	akklimatizálódom	21	0.3181818181818182	-1.1451323043030026	akklimatizálódik	NA	6	akklimatizálódik	akklimatizálódik	0.24137931034482757
aktiválódok	4	aktiválódo	[/V][Prs.NDef.1Sg]	lakom/lakok	26386	8570080167	aktiválódom	1	2.5	0.9162907318741552	aktiválódik	NA	4	aktiválódik	aktiválódik	0.7142857142857143
alacsonyodok	52	alacsonyodo	[/V][Prs.NDef.1Sg]	lakom/lakok	1870	8570080167	alacsonyodom	31	1.65625	0.5045560107523953	alacsonyodik	NA	4	alaço¥odik	alačoṉodik	0.6235294117647059
alakoskodok	17	alakoskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	1461	8570080167	alakoskodom	16	1.0588235294117647	0.05715841383994862	alakoskodik	NA	4	alakoskodik	alakoškodik	0.5142857142857143
alázkodok	24	alázkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	1842	8570080167	alázkodom	46	0.5319148936170213	-0.6312717768418579	alázkodik	NA	3	alázkodik	alázkodik	0.3472222222222222
aljaskodok	4	aljaskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	150	8570080167	aljaskodom	1	2.5	0.9162907318741552	aljaskodik	NA	3	aljaskodik	aljaškodik	0.7142857142857143
aljasodok	5	aljasodo	[/V][Prs.NDef.1Sg]	lakom/lakok	367	8570080167	aljasodom	1	3	1.0986122886681098	aljasodik	NA	3	aljasodik	aljašodik	0.75
alkalmatlankodok	8	alkalmatlankodo	[/V][Prs.NDef.1Sg]	lakom/lakok	918	8570080167	alkalmatlankodom	71	0.125	-2.0794415416798357	alkalmatlankodik	NA	5	alkalmatlankodik	alkalmatlankodik	0.11111111111111113
alkalmazkodok	406	alkalmazkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	223170	8570080167	alkalmazkodom	1271	0.3199685534591195	-1.1395325584574725	alkalmazkodik	NA	4	alkalmazkodik	alkalmazkodik	0.24240619416319234
alkudok	28	alkudo	[/V][Prs.NDef.1Sg]	lakom/lakok	17918	8570080167	alkudom	2	9.666666666666666	2.268683541318364	alkudik	NA	2	alkudik	alkudik	0.90625
alkudozok	131	alkudozo	[/V][Prs.NDef.1Sg]	lakom/lakok	14494	8570080167	alkudozom	234	0.5617021276595745	-0.576783591557788	alkudozik	zik	3	alkudozik	alkudozik	0.35967302452316074
alkuszok	2	alkuszo	[/V][Prs.NDef.1Sg]	lakom/lakok	17918	8570080167	alkuszom	229	0.01304347826086956	-4.339467020255086	alkuszik	szik	2	alkußik	alkusik	0.012875536480686697
állomásozok	10	állomásozo	[/V][Prs.NDef.1Sg]	lakom/lakok	17398	8570080167	állomásozom	33	0.3235294117647059	-1.128465251817791	állomásozik	zik	4	állomásozik	állomášozik	0.2444444444444444
álmélkodok	19	álmélkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	5761	8570080167	álmélkodom	81	0.24390243902439024	-1.410986973710262	álmélkodik	NA	3	álmélkodik	álmélkodik	0.19607843137254904
álmodok	3404	álmodo	[/V][Prs.NDef.1Sg]	lakom/lakok	223489	8570080167	álmodom	12045	0.28266644529304336	-1.2634877150200536	álmodik	NA	2	álmodik	álmodik	0.22037408581968806
álmodozok	532	álmodozo	[/V][Prs.NDef.1Sg]	lakom/lakok	59984	8570080167	álmodozom	2628	0.20273868391023203	-1.5958374005640366	álmodozik	zik	3	álmodozik	álmodozik	0.1685641998734978
álmosodok	29	álmosodo	[/V][Prs.NDef.1Sg]	lakom/lakok	1357	8570080167	álmosodom	53	0.5555555555555556	-0.587786664902119	álmosodik	NA	3	álmosodik	álmošodik	0.35714285714285715
álszenteskedek	18	álszenteskede	[/V][Prs.NDef.1Sg]	lakom/lakok	511	8570080167	álszenteskedem	4	3.8	1.33500106673234	álszenteskedik	NA	4	álßenteskedik	álsenteškedik	0.7916666666666667
alszok	4196	alszo	[/V][Prs.NDef.1Sg]	lakom/lakok	668614	8570080167	alszom	31548	0.13303115788139086	-2.0171719084123705	alszik	szik	1	alßik	alsik	0.11741173837632184
aluszok	12	aluszo	[/V][Prs.NDef.1Sg]	lakom/lakok	668614	8570080167	aluszom	80	0.16049382716049382	-1.8294997972109024	aluszik	szik	2	alußik	alusik	0.1382978723404255
amerikanizálódok	1	amerikanizálódo	[/V][Prs.NDef.1Sg]	lakom/lakok	270	8570080167	amerikanizálódom	1	1	0	amerikanizálódik	NA	7	amerikanizálódik	amerikanizálódik	0.5
amortizálódok	2	amortizálódo	[/V][Prs.NDef.1Sg]	lakom/lakok	3122	8570080167	amortizálódom	1	1.5	0.4054651081081644	amortizálódik	NA	5	amortizálódik	amortizálódik	0.6000000000000001
ámuldozok	55	ámuldozo	[/V][Prs.NDef.1Sg]	lakom/lakok	3333	8570080167	ámuldozom	47	1.1666666666666667	0.15415067982725836	ámuldozik	zik	3	ámuldozik	ámuldozik	0.5384615384615384
andalodok	8	andalodo	[/V][Prs.NDef.1Sg]	lakom/lakok	304	8570080167	andalodom	1	4.5	1.5040773967762742	andalodik	NA	3	andalodik	andalodik	0.8181818181818181
anekdotázok	16	anekdotázo	[/V][Prs.NDef.1Sg]	lakom/lakok	1972	8570080167	anekdotázom	10	1.5454545454545454	0.4353180712578455	anekdotázik	zik	4	anekdotázik	anekdotázik	0.6071428571428572
anyáskodok	7	anyáskodo	[/V][Prs.NDef.1Sg]	lakom/lakok	1025	8570080167	anyáskodom	12	0.6153846153846154	-0.4855078157817008	anyáskodik	NA	3	a¥áskodik	aṉáškodik	0.38095238095238093
apostolkodok	2	apostolkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	686	8570080167	apostolkodom	1	1.5	0.4054651081081644	apostolkodik	NA	4	apostolkodik	apoštolkodik	0.6000000000000001
ármánykodok	2	ármánykodo	[/V][Prs.NDef.1Sg]	lakom/lakok	992	8570080167	ármánykodom	1	1.5	0.4054651081081644	ármánykodik	NA	3	ármá¥kodik	ármáṉkodik	0.6000000000000001
árulkodok	29	árulkodo	[/V][Prs.NDef.1Sg]	lakom/lakok	62655	8570080167	árulkodom	25	1.1538461538461535	0.14310084364067324	árulkodik	NA	3	árulkodik	árulkodik	0.5357142857142857
ásítozok	129	ásítozo	[/V][Prs.NDef.1Sg]	lakom/lakok	3555	8570080167	ásítozom	113	1.1403508771929824	0.13133600206108695	ásítozik	zik	3	ásítozik	ášítozik	0.5327868852459017
áskálódok	13	áskálódo	[/V][Prs.NDef.1Sg]	lakom/lakok	1964	8570080167	áskálódom	12	1.0769230769230769	0.074107972153721835	áskálódik	NA	3	áskálódik	áškálódik	0.5185185185185185
asszimilálódok	12	asszimilálódo	[/V][Prs.NDef.1Sg]	lakom/lakok	5757	8570080167	asszimilálódom	6	1.8571428571428572	0.6190392084062235	asszimilálódik	NA	5	asßimilálódik	ašsimilálódik	0.65
